Year,Event,Status,Attempts,LastAttempt,LastSuccess,NumDrivers,ErrorMessage
2024,Belgian Grand Prix,success,4,2025-12-03T05:41:36.875896,2025-12-03T05:41:38.010975,20,
2024,British Grand Prix,success,4,2025-12-03T05:41:34.124851,2025-12-03T05:41:35.376791,20,
2024,Canadian Grand Prix,success,4,2025-12-03T05:41:29.441865,2025-12-03T05:41:31.144184,20,
2024,Chinese Grand Prix,success,4,2025-12-03T05:41:23.969495,2025-12-03T05:41:25.257340,20,
2024,Dutch Grand Prix,success,4,2025-12-03T05:41:38.012440,2025-12-03T05:41:39.452913,20,
2024,Emilia Romagna Grand Prix,success,4,2025-12-03T05:41:26.607803,2025-12-03T05:41:27.993732,20,
2024,Hungarian Grand Prix,success,4,2025-12-03T05:41:35.378147,2025-12-03T05:41:36.874267,20,
2024,Italian Grand Prix,success,4,2025-12-03T05:41:39.454394,2025-12-03T05:41:40.825910,20,
2024,Japanese Grand Prix,success,4,2025-12-03T05:41:22.735662,2025-12-03T05:41:23.968009,20,
2024,Las Vegas Grand Prix,success,4,2025-12-03T05:41:47.766478,2025-12-03T05:41:48.996726,20,
2024,Mexico City Grand Prix,success,4,2025-12-03T05:41:44.880460,2025-12-03T05:41:46.250055,20,
2024,Miami Grand Prix,success,4,2025-12-03T05:41:25.258783,2025-12-03T05:41:26.606350,20,
2024,Monaco Grand Prix,success,4,2025-12-03T05:41:27.995256,2025-12-03T05:41:29.440425,20,
2024,Qatar Grand Prix,success,4,2025-12-03T05:41:48.998225,2025-12-03T05:41:50.443838,20,
2024,Saudi Arabian Grand Prix,success,4,2025-12-03T05:41:20.253917,2025-12-03T05:41:21.481181,20,
2024,Singapore Grand Prix,success,4,2025-12-03T05:41:42.137184,2025-12-03T05:41:43.519935,20,
2024,Spanish Grand Prix,success,4,2025-12-03T05:41:31.145702,2025-12-03T05:41:32.586897,20,
2024,São Paulo Grand Prix,success,4,2025-12-03T05:41:46.251573,2025-12-03T05:41:47.765125,20,
2024,United States Grand Prix,success,4,2025-12-03T05:41:43.521492,2025-12-03T05:41:44.878992,20,
