DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
LEC,16,Ferrari,2.0,2.0,Finished,19.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
SAI,55,Ferrari,3.0,3.0,Finished,15.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
PER,11,Red Bull Racing,1.0,4.0,Finished,12.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
RUS,63,Mercedes,6.0,5.0,Finished,10.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
OCO,31,Alpine,5.0,6.0,Finished,8.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
NOR,4,McLaren,11.0,7.0,Finished,6.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
GAS,10,AlphaTauri,9.0,8.0,Finished,4.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
MAG,20,Haas F1 Team,10.0,9.0,Finished,2.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
HAM,44,Mercedes,15.0,10.0,Finished,1.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
ZHO,24,Alfa Romeo,12.0,11.0,Finished,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
HUL,27,Aston Martin,17.0,12.0,Finished,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
STR,18,Aston Martin,13.0,13.0,+1 Lap,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
ALB,23,Williams,16.0,14.0,Collision damage,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
BOT,77,Alfa Romeo,8.0,15.0,Cooling system,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
ALO,14,Alpine,7.0,16.0,Water pump,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
RIC,3,McLaren,14.0,17.0,Gearbox,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
LAT,6,Williams,18.0,18.0,Accident,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
