DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
PER,11,Red Bull Racing,5.0,20.0,Collision damage,0.0,2022,Austrian Grand Prix,Spielberg,11,0
VER,1,Red Bull Racing,2.0,1.0,Finished,25.0,2022,French Grand Prix,Le Castellet,12,0
HAM,44,Mercedes,4.0,2.0,Finished,18.0,2022,French Grand Prix,Le Castellet,12,0
RUS,63,Mercedes,6.0,3.0,Finished,15.0,2022,French Grand Prix,Le Castellet,12,0
PER,11,Red Bull Racing,3.0,4.0,Finished,12.0,2022,French Grand Prix,Le Castellet,12,0
SAI,55,Ferrari,19.0,5.0,Finished,11.0,2022,French Grand Prix,Le Castellet,12,0
ALO,14,Alpine,7.0,6.0,Finished,8.0,2022,French Grand Prix,Le Castellet,12,0
NOR,4,McLaren,5.0,7.0,Finished,6.0,2022,French Grand Prix,Le Castellet,12,0
OCO,31,Alpine,10.0,8.0,Finished,4.0,2022,French Grand Prix,Le Castellet,12,0
RIC,3,McLaren,9.0,9.0,Finished,2.0,2022,French Grand Prix,Le Castellet,12,0
STR,18,Aston Martin,15.0,10.0,Finished,1.0,2022,French Grand Prix,Le Castellet,12,0
VET,5,Aston Martin,12.0,11.0,Finished,0.0,2022,French Grand Prix,Le Castellet,12,0
GAS,10,AlphaTauri,14.0,12.0,Finished,0.0,2022,French Grand Prix,Le Castellet,12,0
ALB,23,Williams,13.0,13.0,Finished,0.0,2022,French Grand Prix,Le Castellet,12,0
BOT,77,Alfa Romeo,11.0,14.0,Finished,0.0,2022,French Grand Prix,Le Castellet,12,0
MSC,47,Haas F1 Team,17.0,15.0,Finished,0.0,2022,French Grand Prix,Le Castellet,12,0
ZHO,24,Alfa Romeo,16.0,16.0,+6 Laps,0.0,2022,French Grand Prix,Le Castellet,12,0
LAT,6,Williams,18.0,17.0,Collision damage,0.0,2022,French Grand Prix,Le Castellet,12,0
MAG,20,Haas F1 Team,20.0,18.0,Collision damage,0.0,2022,French Grand Prix,Le Castellet,12,0
LEC,16,Ferrari,1.0,19.0,Accident,0.0,2022,French Grand Prix,Le Castellet,12,0
TSU,22,AlphaTauri,8.0,20.0,Undertray,0.0,2022,French Grand Prix,Le Castellet,12,0
VER,1,Red Bull Racing,10.0,1.0,Finished,25.0,2022,Hungarian Grand Prix,Budapest,13,0
HAM,44,Mercedes,7.0,2.0,Finished,19.0,2022,Hungarian Grand Prix,Budapest,13,0
RUS,63,Mercedes,1.0,3.0,Finished,15.0,2022,Hungarian Grand Prix,Budapest,13,0
SAI,55,Ferrari,2.0,4.0,Finished,12.0,2022,Hungarian Grand Prix,Budapest,13,0
PER,11,Red Bull Racing,11.0,5.0,Finished,10.0,2022,Hungarian Grand Prix,Budapest,13,0
LEC,16,Ferrari,3.0,6.0,Finished,8.0,2022,Hungarian Grand Prix,Budapest,13,0
NOR,4,McLaren,4.0,7.0,Finished,6.0,2022,Hungarian Grand Prix,Budapest,13,0
ALO,14,Alpine,6.0,8.0,+1 Lap,4.0,2022,Hungarian Grand Prix,Budapest,13,0
OCO,31,Alpine,5.0,9.0,+1 Lap,2.0,2022,Hungarian Grand Prix,Budapest,13,0
VET,5,Aston Martin,18.0,10.0,+1 Lap,1.0,2022,Hungarian Grand Prix,Budapest,13,0
STR,18,Aston Martin,14.0,11.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
GAS,10,AlphaTauri,,12.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
ZHO,24,Alfa Romeo,12.0,13.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
MSC,47,Haas F1 Team,15.0,14.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
RIC,3,McLaren,9.0,15.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
MAG,20,Haas F1 Team,13.0,16.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
ALB,23,Williams,17.0,17.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
LAT,6,Williams,19.0,18.0,+1 Lap,0.0,2022,Hungarian Grand Prix,Budapest,13,0
TSU,22,AlphaTauri,16.0,19.0,+2 Laps,0.0,2022,Hungarian Grand Prix,Budapest,13,0
BOT,77,Alfa Romeo,8.0,20.0,Power Unit,0.0,2022,Hungarian Grand Prix,Budapest,13,0
VER,1,Red Bull Racing,14.0,1.0,Finished,26.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
PER,11,Red Bull Racing,2.0,2.0,Finished,18.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
SAI,55,Ferrari,1.0,3.0,Finished,15.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
RUS,63,Mercedes,5.0,4.0,Finished,12.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
ALO,14,Alpine,3.0,5.0,Finished,10.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
LEC,16,Ferrari,15.0,6.0,Finished,8.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
OCO,31,Alpine,16.0,7.0,Finished,6.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
VET,5,Aston Martin,10.0,8.0,Finished,4.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
GAS,10,AlphaTauri,,9.0,Finished,2.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
ALB,23,Williams,6.0,10.0,Finished,1.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
STR,18,Aston Martin,9.0,11.0,Finished,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
NOR,4,McLaren,17.0,12.0,Finished,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
TSU,22,AlphaTauri,,13.0,Finished,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
ZHO,24,Alfa Romeo,18.0,14.0,Finished,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
RIC,3,McLaren,7.0,15.0,Finished,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
MAG,20,Haas F1 Team,12.0,16.0,+1 Lap,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
MSC,47,Haas F1 Team,19.0,17.0,+1 Lap,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
LAT,6,Williams,11.0,18.0,+1 Lap,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
BOT,77,Alfa Romeo,13.0,19.0,Accident,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
HAM,44,Mercedes,4.0,20.0,Collision damage,0.0,2022,Belgian Grand Prix,Spa-Francorchamps,14,0
VER,1,Red Bull Racing,1.0,1.0,Finished,26.0,2022,Dutch Grand Prix,Zandvoort,15,0
RUS,63,Mercedes,6.0,2.0,Finished,18.0,2022,Dutch Grand Prix,Zandvoort,15,0
LEC,16,Ferrari,2.0,3.0,Finished,15.0,2022,Dutch Grand Prix,Zandvoort,15,0
HAM,44,Mercedes,4.0,4.0,Finished,12.0,2022,Dutch Grand Prix,Zandvoort,15,0
PER,11,Red Bull Racing,5.0,5.0,Finished,10.0,2022,Dutch Grand Prix,Zandvoort,15,0
ALO,14,Alpine,13.0,6.0,Finished,8.0,2022,Dutch Grand Prix,Zandvoort,15,0
NOR,4,McLaren,7.0,7.0,Finished,6.0,2022,Dutch Grand Prix,Zandvoort,15,0
SAI,55,Ferrari,3.0,8.0,Finished,4.0,2022,Dutch Grand Prix,Zandvoort,15,0
OCO,31,Alpine,12.0,9.0,Finished,2.0,2022,Dutch Grand Prix,Zandvoort,15,0
STR,18,Aston Martin,10.0,10.0,Finished,1.0,2022,Dutch Grand Prix,Zandvoort,15,0
GAS,10,AlphaTauri,11.0,11.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
ALB,23,Williams,15.0,12.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
MSC,47,Haas F1 Team,8.0,13.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
VET,5,Aston Martin,19.0,14.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
MAG,20,Haas F1 Team,18.0,15.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
ZHO,24,Alfa Romeo,14.0,16.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
RIC,3,McLaren,17.0,17.0,Finished,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
LAT,6,Williams,20.0,18.0,+1 Lap,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
BOT,77,Alfa Romeo,16.0,19.0,Engine,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
TSU,22,AlphaTauri,9.0,20.0,Differential,0.0,2022,Dutch Grand Prix,Zandvoort,15,0
VER,1,Red Bull Racing,7.0,1.0,Finished,25.0,2022,Italian Grand Prix,Monza,16,0
LEC,16,Ferrari,1.0,2.0,Finished,18.0,2022,Italian Grand Prix,Monza,16,0
RUS,63,Mercedes,2.0,3.0,Finished,15.0,2022,Italian Grand Prix,Monza,16,0
SAI,55,Ferrari,18.0,4.0,Finished,12.0,2022,Italian Grand Prix,Monza,16,0
HAM,44,Mercedes,19.0,5.0,Finished,10.0,2022,Italian Grand Prix,Monza,16,0
PER,11,Red Bull Racing,13.0,6.0,Finished,9.0,2022,Italian Grand Prix,Monza,16,0
NOR,4,McLaren,3.0,7.0,Finished,6.0,2022,Italian Grand Prix,Monza,16,0
GAS,10,AlphaTauri,5.0,8.0,Finished,4.0,2022,Italian Grand Prix,Monza,16,0
DEV,45,Williams,8.0,9.0,Finished,2.0,2022,Italian Grand Prix,Monza,16,0
ZHO,24,Alfa Romeo,9.0,10.0,Finished,1.0,2022,Italian Grand Prix,Monza,16,0
OCO,31,Alpine,14.0,11.0,Finished,0.0,2022,Italian Grand Prix,Monza,16,0
MSC,47,Haas F1 Team,17.0,12.0,Finished,0.0,2022,Italian Grand Prix,Monza,16,0
BOT,77,Alfa Romeo,15.0,13.0,+1 Lap,0.0,2022,Italian Grand Prix,Monza,16,0
TSU,22,AlphaTauri,20.0,14.0,+1 Lap,0.0,2022,Italian Grand Prix,Monza,16,0
LAT,6,Williams,10.0,15.0,+1 Lap,0.0,2022,Italian Grand Prix,Monza,16,0
MAG,20,Haas F1 Team,16.0,16.0,+1 Lap,0.0,2022,Italian Grand Prix,Monza,16,0
RIC,3,McLaren,4.0,17.0,Oil leak,0.0,2022,Italian Grand Prix,Monza,16,0
STR,18,Aston Martin,12.0,18.0,Engine,0.0,2022,Italian Grand Prix,Monza,16,0
ALO,14,Alpine,6.0,19.0,Water pressure,0.0,2022,Italian Grand Prix,Monza,16,0
VET,5,Aston Martin,11.0,20.0,Engine,0.0,2022,Italian Grand Prix,Monza,16,0
PER,11,Red Bull Racing,2.0,1.0,Finished,25.0,2022,Singapore Grand Prix,Marina Bay,17,1
LEC,16,Ferrari,1.0,2.0,Finished,18.0,2022,Singapore Grand Prix,Marina Bay,17,1
SAI,55,Ferrari,4.0,3.0,Finished,15.0,2022,Singapore Grand Prix,Marina Bay,17,1
NOR,4,McLaren,6.0,4.0,Finished,12.0,2022,Singapore Grand Prix,Marina Bay,17,1
RIC,3,McLaren,16.0,5.0,Finished,10.0,2022,Singapore Grand Prix,Marina Bay,17,1
STR,18,Aston Martin,11.0,6.0,Finished,8.0,2022,Singapore Grand Prix,Marina Bay,17,1
VER,1,Red Bull Racing,8.0,7.0,Finished,6.0,2022,Singapore Grand Prix,Marina Bay,17,1
VET,5,Aston Martin,13.0,8.0,Finished,4.0,2022,Singapore Grand Prix,Marina Bay,17,1
HAM,44,Mercedes,3.0,9.0,Finished,2.0,2022,Singapore Grand Prix,Marina Bay,17,1
GAS,10,AlphaTauri,7.0,10.0,Finished,1.0,2022,Singapore Grand Prix,Marina Bay,17,1
BOT,77,Alfa Romeo,15.0,11.0,Finished,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
MAG,20,Haas F1 Team,9.0,12.0,Finished,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
MSC,47,Haas F1 Team,12.0,13.0,+1 Lap,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
RUS,63,Mercedes,,14.0,+2 Laps,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
TSU,22,AlphaTauri,10.0,15.0,Accident,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
OCO,31,Alpine,17.0,16.0,Engine,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
ALB,23,Williams,18.0,17.0,Collision damage,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
ALO,14,Alpine,5.0,18.0,Engine,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
LAT,6,Williams,19.0,19.0,Collision damage,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
ZHO,24,Alfa Romeo,14.0,20.0,Collision,0.0,2022,Singapore Grand Prix,Marina Bay,17,1
VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,2022,Japanese Grand Prix,Suzuka,18,1
PER,11,Red Bull Racing,4.0,2.0,Finished,18.0,2022,Japanese Grand Prix,Suzuka,18,1
LEC,16,Ferrari,2.0,3.0,Finished,15.0,2022,Japanese Grand Prix,Suzuka,18,1
OCO,31,Alpine,5.0,4.0,Finished,12.0,2022,Japanese Grand Prix,Suzuka,18,1
HAM,44,Mercedes,6.0,5.0,Finished,10.0,2022,Japanese Grand Prix,Suzuka,18,1
VET,5,Aston Martin,9.0,6.0,Finished,8.0,2022,Japanese Grand Prix,Suzuka,18,1
ALO,14,Alpine,7.0,7.0,Finished,6.0,2022,Japanese Grand Prix,Suzuka,18,1
RUS,63,Mercedes,8.0,8.0,Finished,4.0,2022,Japanese Grand Prix,Suzuka,18,1
LAT,6,Williams,20.0,9.0,Finished,2.0,2022,Japanese Grand Prix,Suzuka,18,1
NOR,4,McLaren,10.0,10.0,Finished,1.0,2022,Japanese Grand Prix,Suzuka,18,1
RIC,3,McLaren,11.0,11.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
STR,18,Aston Martin,19.0,12.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
TSU,22,AlphaTauri,13.0,13.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
MAG,20,Haas F1 Team,18.0,14.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
BOT,77,Alfa Romeo,12.0,15.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
ZHO,24,Alfa Romeo,14.0,16.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
MSC,47,Haas F1 Team,15.0,17.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
GAS,10,AlphaTauri,17.0,18.0,Finished,0.0,2022,Japanese Grand Prix,Suzuka,18,1
SAI,55,Ferrari,3.0,19.0,Accident,0.0,2022,Japanese Grand Prix,Suzuka,18,1
ALB,23,Williams,16.0,20.0,Hydraulics,0.0,2022,Japanese Grand Prix,Suzuka,18,1
VER,1,Red Bull Racing,2.0,1.0,Finished,25.0,2022,United States Grand Prix,Austin,19,0
HAM,44,Mercedes,3.0,2.0,Finished,18.0,2022,United States Grand Prix,Austin,19,0
LEC,16,Ferrari,12.0,3.0,Finished,15.0,2022,United States Grand Prix,Austin,19,0
PER,11,Red Bull Racing,9.0,4.0,Finished,12.0,2022,United States Grand Prix,Austin,19,0
RUS,63,Mercedes,4.0,5.0,Finished,11.0,2022,United States Grand Prix,Austin,19,0
NOR,4,McLaren,6.0,6.0,Finished,8.0,2022,United States Grand Prix,Austin,19,0
ALO,14,Alpine,14.0,7.0,Finished,6.0,2022,United States Grand Prix,Austin,19,0
VET,5,Aston Martin,10.0,8.0,Finished,4.0,2022,United States Grand Prix,Austin,19,0
MAG,20,Haas F1 Team,13.0,9.0,Finished,2.0,2022,United States Grand Prix,Austin,19,0
TSU,22,AlphaTauri,19.0,10.0,Finished,1.0,2022,United States Grand Prix,Austin,19,0
OCO,31,Alpine,,11.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
ZHO,24,Alfa Romeo,18.0,12.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
ALB,23,Williams,8.0,13.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
GAS,10,AlphaTauri,11.0,14.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
MSC,47,Haas F1 Team,16.0,15.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
RIC,3,McLaren,15.0,16.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
LAT,6,Williams,17.0,17.0,Finished,0.0,2022,United States Grand Prix,Austin,19,0
STR,18,Aston Martin,5.0,18.0,Collision,0.0,2022,United States Grand Prix,Austin,19,0
BOT,77,Alfa Romeo,7.0,19.0,Spun off,0.0,2022,United States Grand Prix,Austin,19,0
SAI,55,Ferrari,1.0,20.0,Collision damage,0.0,2022,United States Grand Prix,Austin,19,0
VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,2022,Mexico City Grand Prix,Mexico City,20,0
HAM,44,Mercedes,3.0,2.0,Finished,18.0,2022,Mexico City Grand Prix,Mexico City,20,0
PER,11,Red Bull Racing,4.0,3.0,Finished,15.0,2022,Mexico City Grand Prix,Mexico City,20,0
RUS,63,Mercedes,2.0,4.0,Finished,13.0,2022,Mexico City Grand Prix,Mexico City,20,0
SAI,55,Ferrari,5.0,5.0,Finished,10.0,2022,Mexico City Grand Prix,Mexico City,20,0
LEC,16,Ferrari,7.0,6.0,Finished,8.0,2022,Mexico City Grand Prix,Mexico City,20,0
RIC,3,McLaren,11.0,7.0,+1 Lap,6.0,2022,Mexico City Grand Prix,Mexico City,20,0
OCO,31,Alpine,10.0,8.0,+1 Lap,4.0,2022,Mexico City Grand Prix,Mexico City,20,0
NOR,4,McLaren,8.0,9.0,+1 Lap,2.0,2022,Mexico City Grand Prix,Mexico City,20,0
BOT,77,Alfa Romeo,6.0,10.0,+1 Lap,1.0,2022,Mexico City Grand Prix,Mexico City,20,0
GAS,10,AlphaTauri,14.0,11.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
ALB,23,Williams,17.0,12.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
ZHO,24,Alfa Romeo,12.0,13.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
VET,5,Aston Martin,16.0,14.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
STR,18,Aston Martin,20.0,15.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
MSC,47,Haas F1 Team,15.0,16.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
MAG,20,Haas F1 Team,19.0,17.0,+1 Lap,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
LAT,6,Williams,18.0,18.0,+2 Laps,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
ALO,14,Alpine,9.0,19.0,Engine,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
TSU,22,AlphaTauri,13.0,20.0,Collision damage,0.0,2022,Mexico City Grand Prix,Mexico City,20,0
RUS,63,Mercedes,1.0,1.0,Finished,26.0,2022,São Paulo Grand Prix,São Paulo,21,0
HAM,44,Mercedes,2.0,2.0,Finished,18.0,2022,São Paulo Grand Prix,São Paulo,21,0
SAI,55,Ferrari,7.0,3.0,Finished,15.0,2022,São Paulo Grand Prix,São Paulo,21,0
LEC,16,Ferrari,5.0,4.0,Finished,12.0,2022,São Paulo Grand Prix,São Paulo,21,0
ALO,14,Alpine,17.0,5.0,Finished,10.0,2022,São Paulo Grand Prix,São Paulo,21,0
VER,1,Red Bull Racing,3.0,6.0,Finished,8.0,2022,São Paulo Grand Prix,São Paulo,21,0
PER,11,Red Bull Racing,4.0,7.0,Finished,6.0,2022,São Paulo Grand Prix,São Paulo,21,0
OCO,31,Alpine,16.0,8.0,Finished,4.0,2022,São Paulo Grand Prix,São Paulo,21,0
BOT,77,Alfa Romeo,14.0,9.0,Finished,2.0,2022,São Paulo Grand Prix,São Paulo,21,0
STR,18,Aston Martin,15.0,10.0,Finished,1.0,2022,São Paulo Grand Prix,São Paulo,21,0
VET,5,Aston Martin,9.0,11.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
ZHO,24,Alfa Romeo,13.0,12.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
MSC,47,Haas F1 Team,12.0,13.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
GAS,10,AlphaTauri,10.0,14.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
ALB,23,Williams,19.0,15.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
LAT,6,Williams,18.0,16.0,Finished,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
TSU,22,AlphaTauri,,17.0,+1 Lap,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
NOR,4,McLaren,6.0,18.0,Gearbox,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
MAG,20,Haas F1 Team,8.0,19.0,Collision,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
RIC,3,McLaren,11.0,20.0,Collision,0.0,2022,São Paulo Grand Prix,São Paulo,21,0
VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
LEC,16,Ferrari,3.0,2.0,Finished,18.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
PER,11,Red Bull Racing,2.0,3.0,Finished,15.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
SAI,55,Ferrari,4.0,4.0,Finished,12.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
RUS,63,Mercedes,6.0,5.0,Finished,10.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
NOR,4,McLaren,7.0,6.0,Finished,9.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
OCO,31,Alpine,8.0,7.0,Finished,6.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
STR,18,Aston Martin,14.0,8.0,Finished,4.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
RIC,3,McLaren,13.0,9.0,Finished,2.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
VET,5,Aston Martin,9.0,10.0,Finished,1.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
TSU,22,AlphaTauri,11.0,11.0,Finished,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
ZHO,24,Alfa Romeo,15.0,12.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
ALB,23,Williams,19.0,13.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
GAS,10,AlphaTauri,17.0,14.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
BOT,77,Alfa Romeo,18.0,15.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
MSC,47,Haas F1 Team,12.0,16.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
MAG,20,Haas F1 Team,16.0,17.0,+1 Lap,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
HAM,44,Mercedes,5.0,18.0,Hydraulics,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
LAT,6,Williams,20.0,19.0,Collision damage,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
ALO,14,Alpine,10.0,20.0,Water leak,0.0,2022,Abu Dhabi Grand Prix,Yas Island,22,0
VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,2023,Bahrain Grand Prix,Sakhir,1,0
PER,11,Red Bull Racing,2.0,2.0,Finished,18.0,2023,Bahrain Grand Prix,Sakhir,1,0
ALO,14,Aston Martin,5.0,3.0,Finished,15.0,2023,Bahrain Grand Prix,Sakhir,1,0
SAI,55,Ferrari,4.0,4.0,Finished,12.0,2023,Bahrain Grand Prix,Sakhir,1,0
HAM,44,Mercedes,7.0,5.0,Finished,10.0,2023,Bahrain Grand Prix,Sakhir,1,0
STR,18,Aston Martin,8.0,6.0,Finished,8.0,2023,Bahrain Grand Prix,Sakhir,1,0
RUS,63,Mercedes,6.0,7.0,Finished,6.0,2023,Bahrain Grand Prix,Sakhir,1,0
BOT,77,Alfa Romeo,12.0,8.0,Finished,4.0,2023,Bahrain Grand Prix,Sakhir,1,0
GAS,10,Alpine,20.0,9.0,Finished,2.0,2023,Bahrain Grand Prix,Sakhir,1,0
ALB,23,Williams,15.0,10.0,Finished,1.0,2023,Bahrain Grand Prix,Sakhir,1,0
TSU,22,AlphaTauri,14.0,11.0,Finished,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
SAR,2,Williams,16.0,12.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
MAG,20,Haas F1 Team,17.0,13.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
DEV,21,AlphaTauri,19.0,14.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
HUL,27,Haas F1 Team,10.0,15.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
ZHO,24,Alfa Romeo,13.0,16.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
NOR,4,McLaren,11.0,17.0,Lapped,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
OCO,31,Alpine,9.0,18.0,Retired,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
LEC,16,Ferrari,3.0,19.0,Retired,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
PIA,81,McLaren,18.0,20.0,Retired,0.0,2023,Bahrain Grand Prix,Sakhir,1,0
PER,11,Red Bull Racing,1.0,1.0,Finished,25.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
VER,1,Red Bull Racing,15.0,2.0,Finished,19.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
ALO,14,Aston Martin,2.0,3.0,Finished,15.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
RUS,63,Mercedes,3.0,4.0,Finished,12.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
HAM,44,Mercedes,7.0,5.0,Finished,10.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
SAI,55,Ferrari,4.0,6.0,Finished,8.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
LEC,16,Ferrari,12.0,7.0,Finished,6.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
OCO,31,Alpine,6.0,8.0,Finished,4.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
GAS,10,Alpine,9.0,9.0,Finished,2.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
MAG,20,Haas F1 Team,13.0,10.0,Finished,1.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
TSU,22,AlphaTauri,16.0,11.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
HUL,27,Haas F1 Team,10.0,12.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
ZHO,24,Alfa Romeo,11.0,13.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
DEV,21,AlphaTauri,18.0,14.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
PIA,81,McLaren,8.0,15.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
SAR,2,Williams,20.0,16.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
NOR,4,McLaren,19.0,17.0,Finished,0.0,2023,Saudi Arabian Grand Prix,Jeddah,2,0
